x-coordinate,y-coordinate,status,x_diff_1,x_diff_2,x_diff_inv_1,x_diff_inv_2,x_div_1,x_div_2,y_diff_1,y_diff_2,y_diff_inv_1,y_diff_inv_2,y_div_1,y_div_2,direction_1,direction_2,direction_diff_1,direction_diff_2,direction_inv_1,direction_inv_2,direction_diff_inv_1,direction_diff_inv_2
724,447,0,-3,-3,1,3,-3,-1,9,13,-9,-24,-1,-0.541666667,108.4349488,102.9946168,18.43494882,,276.3401917,277.1250163,-12.09475708,-5.40379136
725,438,0,-1,-4,2,1,-0.5,-4,9,18,-15,-32,-0.6,-0.5625,96.34019175,102.5288077,-12.09475708,-0.465809083,277.5946434,271.7899106,1.254451623,-5.335105741
727,423,0,-2,-3,-1,-2,2,1.5,15,24,-17,-36,-0.882352941,-0.666666667,97.59464337,97.12501635,1.254451623,-5.40379136,266.6335393,266.8201699,-10.96110403,-4.969740728
726,406,0,1,-1,-1,-1,-1,1,17,32,-19,-36,-0.894736842,-0.888888889,86.63353934,91.78991061,-10.96110403,-5.335105741,266.9872125,268.4088597,0.353673159,1.588689849
725,387,0,1,2,0,-2,1E+15,-1,19,36,-17,-34,-1.117647059,-1.058823529,86.9872125,86.82016988,0.353673159,-4.969740728,270,266.6335393,3.012787504,-1.775320392
725,370,0,0,1,-2,-2,0,-0.5,17,36,-17,-33,-1,-1.090909091,90,88.40885973,3.012787504,1.588689849,263.2901632,266.5317707,-6.709836808,-0.101768595
723,353,0,2,2,0,0,2E+15,2E+15,17,34,-16,-29,-1.0625,-1.172413793,83.29016319,86.63353934,-6.709836808,-1.775320392,270,270,6.709836808,3.468229259
723,337,0,0,2,0,-1,0,-2,16,33,-13,-26,-1.230769231,-1.269230769,90,86.53177074,6.709836808,-0.101768595,270,267.7974018,0,-2.202598162
723,324,0,0,0,-1,-2,0,0,13,29,-13,-24,-1,-1.208333333,90,90,0,3.468229259,265.6012946,265.2363583,-4.398705355,-2.561043529
722,311,0,1,1,-1,-1,-1,-1,13,26,-11,-20,-1.181818182,-1.3,85.60129465,87.79740184,-4.398705355,-2.202598162,264.8055711,267.1375948,-0.795723553,1.901236465
721,300,0,1,2,0,-2,1E+15,-1,11,24,-9,-18,-1.222222222,-1.333333333,84.80557109,85.23635831,-0.795723553,-2.561043529,270,263.6598083,5.194428908,-3.47778652
721,291,0,0,1,-2,-2,0,-0.5,9,20,-9,-16,-1,-1.25,90,87.13759477,5.194428908,1.901236465,257.4711923,262.8749837,-12.52880771,-0.784824603
719,282,0,2,2,0,-2,2E+15,-1,9,18,-7,-14,-1.285714286,-1.285714286,77.47119229,83.65980825,-12.52880771,-3.47778652,270,261.8698976,12.52880771,-1.005086005
719,275,0,0,2,-2,-2,0,-1,7,16,-7,-12,-1,-1.333333333,90,82.87498365,12.52880771,-0.784824603,254.0546041,260.5376778,-15.9453959,-1.332219854
717,268,0,2,2,0,-2,2E+15,-1,7,14,-5,-9,-1.4,-1.555555556,74.0546041,81.86989765,-15.9453959,-1.005086005,270,257.4711923,15.9453959,-3.066485501
717,263,0,0,2,-2,-3,0,-0.666666667,5,12,-4,-6,-1.25,-2,90,80.53767779,15.9453959,-1.332219854,243.4349488,243.4349488,-26.56505118,-14.03624347
715,259,0,2,2,-1,-2,-2,-1,4,9,-2,-4,-2,-2.25,63.43494882,77.47119229,-26.56505118,-3.066485501,243.4349488,243.4349488,0,0
714,257,0,1,3,-1,-1,-1,-3,2,6,-2,-2,-1,-3,63.43494882,63.43494882,0,-14.03624347,243.4349488,243.4349488,0,0
713,255,0,1,2,0,-2,1E+15,-1,2,4,0,2,2E+15,2,63.43494882,63.43494882,0,0,0,135,-243.4349488,-108.4349488
713,255,0,0,1,-2,-3,0,-0.333333333,0,2,2,4,0,0.5,0,63.43494882,-63.43494882,0,135,126.8698976,135,-8.130102354
711,257,0,2,2,-1,-2,-2,-1,-2,-2,2,6,-1,-0.333333333,315,315,315,251.5650512,116.5650512,108.4349488,-18.43494882,-18.43494882
710,259,0,1,3,-1,-2,-1,-1.5,-2,-4,4,8,-0.5,-0.5,296.5650512,306.8698976,-18.43494882,-8.130102354,104.0362435,104.0362435,-12.52880771,-4.398705355
709,263,0,1,2,-1,-1,-1,-2,-4,-6,4,11,-1,-0.545454545,284.0362435,288.4349488,-12.52880771,-18.43494882,104.0362435,95.19442891,0,-8.84181456
708,267,0,1,2,0,-1,1E+15,-2,-4,-8,7,15,-0.571428571,-0.533333333,284.0362435,284.0362435,0,-4.398705355,90,93.81407483,-14.03624347,-1.380354073
708,274,0,0,1,-1,-2,0,-0.5,-7,-11,8,16,-0.875,-0.6875,270,275.1944289,-14.03624347,-8.84181456,97.12501635,97.12501635,7.125016349,3.310941515
707,282,0,1,1,-1,-7,-1,-0.142857143,-8,-15,8,9,-1,-1.666666667,277.1250163,273.8140748,7.125016349,-1.380354073,97.12501635,127.8749837,0,30.7499673
706,290,0,1,2,-6,-18,-0.166666667,-0.111111111,-8,-16,1,-16,-8,1,277.1250163,277.1250163,0,3.310941515,170.5376778,221.6335393,73.41266144,93.75855569
700,291,1,6,7,-12,-22,-0.5,-0.318181818,-1,-9,-17,-33,0.058823529,0.272727273,350.5376778,307.8749837,73.41266144,30.7499673,234.782407,236.3099325,64.24472924,14.67639314
688,274,0,12,18,-10,-19,-1.2,-0.947368421,17,16,-16,-27,-1.0625,-0.592592593,54.78240703,41.63353934,-295.7552708,-266.2414443,237.9946168,234.8658069,3.21220976,-1.444125531
678,258,0,10,22,-9,-15,-1.111111111,-1.466666667,16,33,-11,-20,-1.454545455,-1.65,57.99461679,56.30993247,3.21220976,14.67639314,230.7105931,233.1301024,-7.284023654,-1.735704589
669,247,0,9,19,-6,-14,-1.5,-1.357142857,11,27,-9,-15,-1.222222222,-1.8,50.71059314,54.86580694,-7.284023654,-1.444125531,236.3099325,226.974934,5.599339337,-6.155168343
663,238,0,6,15,-8,-13,-0.75,-1.153846154,9,20,-6,-10,-1.5,-2,56.30993247,53.13010235,5.599339337,-1.735704589,216.8698976,217.568592,-19.44003483,-9.406341982
655,232,0,8,14,-5,-8,-1.6,-1.75,6,15,-4,-6,-1.5,-2.5,36.86989765,46.97493401,-19.44003483,-6.155168343,218.6598083,216.8698976,1.789910608,-0.698694383
650,228,0,5,13,-3,-11,-1.666666667,-1.181818182,4,10,-2,-4,-2,-2.5,38.65980825,37.56859203,1.789910608,-9.406341982,213.6900675,199.9831065,-4.969740728,-16.88679112
647,226,0,3,8,-8,-15,-0.375,-0.533333333,2,6,-2,-2,-1,-3,33.69006753,36.86989765,-4.969740728,-0.698694383,194.0362435,187.5946434,-19.65382406,-12.38846315
639,224,0,8,11,-7,-10,-1.142857143,-1.1,2,4,0,-19,2E+15,-0.210526316,14.03624347,19.98310652,-19.65382406,-16.88679112,180,242.2414594,-14.03624347,54.64681603
632,224,2,7,15,-3,-6,-2.333333333,-2.5,0,2,-19,-40,0,-0.05,0,7.594643369,-14.03624347,-12.38846315,261.0273734,261.4692344,81.02737339,19.22777499
629,205,0,3,10,-3,-5,-1,-2,19,19,-21,-35,-0.904761905,-0.542857143,81.02737339,62.2414594,81.02737339,54.64681603,261.8698976,261.8698976,0.842524261,0.400663256
626,184,0,3,6,-2,-8,-1.5,-0.75,21,40,-14,-29,-1.5,-1.379310345,81.86989765,81.46923439,0.842524261,19.22777499,261.8698976,254.5778387,0,-7.292058965
624,170,0,2,5,-6,-9,-0.333333333,-0.555555556,14,35,-15,-30,-0.933333333,-1.166666667,81.86989765,81.86989765,0,0.400663256,248.1985905,253.3007558,-13.67130713,-1.277082915
618,155,0,6,8,-3,-8,-2,-1,15,29,-15,-27,-1,-1.074074074,68.19859051,74.57783868,-13.67130713,-7.292058965,258.6900675,253.4956386,10.49147701,0.194882852
615,140,0,3,9,-5,-3,-0.6,-3,15,30,-12,-17,-1.25,-1.764705882,78.69006753,73.30075577,10.49147701,-1.277082915,247.3801351,259.9920202,-11.30993247,6.49638158
610,128,0,5,8,2,8,2.5,1,12,27,-5,-12,-2.4,-2.25,67.38013505,73.49563862,-11.30993247,0.194882852,291.8014095,303.6900675,44.42127443,43.69804733
